countryiso,indicator,source,url,date,unit,value
#country+code,#indicator+name,#meta+source,#meta+url,#date,#indicator+unit,#value+amount
BRB,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,430
BLR,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,9228071
BLR,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,45.8368317319537
BLR,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",22550.6404444662
BLR,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,202950
BEL,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,11685814
BEL,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,382.635237780713
BEL,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",68253.332067842
BEL,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,30280
BLZ,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,405272
BLZ,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,17.537527400263
BLZ,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",11189.8640824336
BLZ,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,22810
BEN,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,13352864
BEN,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,115.261573252927
BEN,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",4057.45175503911
BEN,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,112760
BMU,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,63532
BMU,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,1180.81481481481
BMU,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,"GDP per capita, PPP (current international $)",95868.7802623325
BMU,Land area,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,sq. km,54
BTN,"Population, total",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2022-01-01,people,782455
BTN,Population density,World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,people per sq. km of land area,20.3850550603041
BTN,"GDP per capita, PPP (current international $)",World Bank,http://api.worldbank.org/v2/en/country/all/indicator/SP.POP.TOTL;EN.POP.DNST;NY.GDP.PCAP.PP.CD;AG.LND.TOTL.K2?source=2&mrnev=1&format=json&per_page=10000,2021-01-01,"GDP per capita, PPP (current international $)",12795.351765707
